brand,id,filename,description,rootfs_extracted,kernel_extracted,arch,kernel_version,url,product,version
openwrt,14713,openwrt/f454363ea23dab01a33f72718d0c242d97cae3ed.bin,openwrt-15.05-ar71xx-generic-tew-652brp-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tew-652brp-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14720,openwrt/0bd9a173d97ebdba73dfb3e35b31e1428324f7f7.bin,openwrt-15.05-ar71xx-generic-tew-673gru-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tew-673gru-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14719,openwrt/fac4bf4a043b53698f11467fb2998927349b96e7.bin,openwrt-15.05-ar71xx-generic-tew-673gru-squashfs-backup-loader.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tew-673gru-squashfs-backup-loader.bin,15.0-ar71x-generi,
openwrt,14715,openwrt/a7259773924a20fa6ed80227862129f428ebceec.bin,openwrt-15.05-ar71xx-generic-tew-673gru-fat-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tew-673gru-fat-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14721,openwrt/bad0cbf4ee0f48671833ae155274117d5fdb0bce.bin,openwrt-15.05-ar71xx-generic-tew-732br-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tew-732br-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14722,openwrt/44680b2717249a1151339f9655faa52c86d93b92.bin,openwrt-15.05-ar71xx-generic-tew-712br-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tew-712br-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14724,openwrt/7f2874432899a56da317b382449812c5a43ac7bb.bin,openwrt-15.05-ar71xx-generic-tew-712br-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tew-712br-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14726,openwrt/170f3f44264713e17ad0f8e89bb494bf50364f33.bin,openwrt-15.05-ar71xx-generic-tl-mr11u-v1-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr11u-v1-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14728,openwrt/b613f76f2504a725a94910a2d7c18f7595bb412d.bin,openwrt-15.05-ar71xx-generic-tl-mr10u-v1-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr10u-v1-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14725,openwrt/3b7cbd0781f0a2b41c5144f43fad46b3f0c74eca.bin,openwrt-15.05-ar71xx-generic-tl-mr10u-v1-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr10u-v1-squashfs-sysupgrade.bin,15.0-ar71x-generi,
