id,url
14382,http://archive.openwrt.org/chaos_calmer/15.05/brcm47xx/generic/openwrt-15.05-brcm47xx-generic-squashfs-noloader-nodictionary.trx
13987,http://archive.openwrt.org/chaos_calmer/15.05/ramips/rt305x/openwrt-15.05-ramips-rt305x-dir-620-d1-initramfs-uImage.bin
14009,http://archive.openwrt.org/chaos_calmer/15.05/ramips/rt305x/openwrt-15.05-ramips-rt305x-m3-initramfs-uImage.bin
9968,http://archive.openwrt.org/chaos_calmer/15.05.1/ramips/rt305x/openwrt-15.05.1-ramips-rt305x-ncs601W-initramfs-uImage.bin
14515,http://archive.openwrt.org/chaos_calmer/15.05/ar7/generic/openwrt-15.05-ar7-generic-WA31-squashfs-code.bin
14971,http://archive.openwrt.org/chaos_calmer/15.05/adm5120/router_le/openwrt-15.05-adm5120-router_le-dns-g120-squashfs-xmodem.bin
13882,http://archive.openwrt.org/chaos_calmer/15.05/oxnas/generic/openwrt-15.05-oxnas-kd20-u-boot-initramfs.bin
9715,http://archive.openwrt.org/chaos_calmer/15.05.1/oxnas/generic/openwrt-15.05.1-oxnas-stg212-u-boot-initramfs.bin
13901,http://archive.openwrt.org/chaos_calmer/15.05/oxnas/generic/openwrt-15.05-oxnas-stg212-u-boot-initramfs.bin
9707,http://archive.openwrt.org/chaos_calmer/15.05.1/oxnas/generic/openwrt-15.05.1-oxnas-pogoplug-v3-u-boot-initramfs.bin
34970,http://archive.openwrt.org/releases/17.01.0-rc1/targets/adm5120/router_le/lede-17.01.0-rc1-r3042-ec095b5-adm5120-router_le-nfs-101u-squashfs-webui.bin
12990,http://archive.openwrt.org/snapshots/trunk/ar7/generic/openwrt-ar7-generic-WA7B-squashfs-code.bin
12951,http://archive.openwrt.org/snapshots/trunk/adm8668/generic/openwrt-adm8668-squashfs.bin
34954,http://archive.openwrt.org/releases/17.01.0-rc1/targets/ar7/generic/lede-17.01.0-rc1-r3042-ec095b5-ar7-generic-WA7B-squashfs-code.bin
